iteration,avg. fps,avg. polys,avg. models
1,15.415064,90224117,14684
2,16.110565,89391600,14549
3,16.090302,95220338,15498
4,16.129131,94945551,15453
5,15.763077,95299267,15510
6,15.869112,92385111,15036
7,15.641477,95060992,15472
8,15.266211,90686232,14760
9,15.705136,95568064,15554
10,15.461389,94612044,15399
11,15.861585,94732625,15418
12,15.774287,94897088,15445
13,15.588684,95505152,15544
14,15.45382,92162941,15000
15,15.365058,94248502,15339
16,15.670082,95135296,15484
17,15.442341,94732848,15418
18,15.57478,94417280,15367
19,15.355723,93303960,15186
20,15.505322,93479278,15214
21,15.664744,92722014,15091
22,15.66047,94372736,15360
23,15.192213,90653266,14754
24,15.712455,95279872,15507
25,15.316603,93826919,15271
26,15.29798,93058411,15146
27,15.560962,93593944,15233
28,15.612471,95313165,15513
29,15.752985,95497458,15543
30,15.454693,93178351,15165
31,15.258289,90368726,14708
32,15.418805,93978235,15295
33,15.617451,95150400,15486
34,15.700523,92907456,15121
35,15.441079,74506850,12126
36,15.601743,72452893,11792
37,15.534357,76447075,12442
38,15.596243,76915377,12518
