iteration,avg. fps,avg. polys,avg. models
1,56.224899,4464176,726
2,61.800957,4073160,662
3,65.738991,4231153,688
4,61.635963,3895071,633
5,64.09243,4656083,757
6,61.6534,4696176,764
7,66.934433,3957910,644
8,66.14814,4060741,660
9,63.839321,4262503,693
10,65.694473,4363271,710
11,65.269707,4866944,792
12,61.812458,5145907,837
13,62.248291,4245595,691
14,58.505478,3992421,649
15,58.697651,5088318,828
16,57.199188,4605085,749
17,58.885117,5309246,864
18,59.195911,5125475,834
19,57.078358,4735362,770
20,59.403774,4746696,772
21,58.011623,5070102,825
22,57.979996,4966681,808
23,57.26223,4752926,773
24,59.751682,5408965,880
25,60.338345,5269418,857
26,57.403111,4777662,777
27,58.539555,5202340,846
28,57.371655,4702041,765
29,57.93644,5267014,857
30,56.036629,4908441,798
31,59.869297,5328609,867
32,59.149048,5331403,867
33,59.761044,5700686,927
34,61.352009,5286551,860
35,56.884239,5028459,818
36,59.628117,4945792,804
37,63.154789,5050823,822
38,62.526726,3829833,623
