iteration,avg. fps,avg. polys,avg. models
1,54.932995,34030619,5538
2,50.683891,41191464,6704
3,48.139919,55054731,8960
4,46.443695,57688761,9389
5,50.150909,45706145,7439
6,47.640011,57408938,9343
7,51.22953,48041766,7819
8,48.692959,53079759,8639
9,50.92157,49806216,8106
10,49.530121,51912785,8449
11,49.929535,54061137,8799
12,48.61515,54396677,8853
13,49.224606,53756495,8749
14,51.267185,47457326,7724
15,51.011864,48784311,7940
16,50.281147,46489489,7566
17,51.418442,46431310,7557
18,51.144215,47228690,7686
19,50.214413,46437645,7558
20,49.491592,46307328,7537
21,50.361153,44708837,7276
22,47.911045,52181754,8493
23,46.413822,59813463,9735
24,48.13158,56383067,9176
25,48.56657,52472811,8540
26,49.159679,47720819,7767
27,47.844254,49032425,7980
28,49.559959,49198243,8007
29,46.437611,59054679,9611
30,49.565483,53240340,8665
31,51.772095,46357301,7545
32,49.906925,51426948,8370
33,47.868694,54946432,8943
34,49.545815,50313011,8188
35,48.977818,51941791,8454
36,48.499027,53780480,8753
37,47.601109,57243946,9317
38,49.575619,49976401,8134
