iteration,avg. fps,avg. polys,avg. models
1,16.819607,96000000,15625
2,16.816956,96000000,15625
3,16.647102,96000000,15625
4,16.763807,96000000,15625
5,17.109236,96000000,15625
6,17.0959,96000000,15625
7,17.226534,96000000,15625
8,16.783627,96000000,15625
9,16.733068,96000000,15625
10,16.765703,96000000,15625
11,16.841967,96000000,15625
12,16.833698,96000000,15625
13,16.887503,96000000,15625
14,16.752537,96000000,15625
15,16.890423,96000000,15625
16,16.894463,96000000,15625
17,17.043331,96000000,15625
18,17.005117,96000000,15625
19,16.890554,96000000,15625
20,17.06547,96000000,15625
21,17.049568,96000000,15625
22,16.105574,96000000,15625
23,16.881115,96000000,15625
24,17.069649,96000000,15625
25,16.02882,96000000,15625
26,16.770594,96000000,15625
27,17.004362,96000000,15625
28,17.052219,96000000,15625
29,17.06068,96000000,15625
30,17.052153,96000000,15625
31,17.066179,96000000,15625
32,17.078342,96000000,15625
33,17.034472,96000000,15625
34,16.502388,96000000,15625
35,16.757719,96000000,15625
36,17.031488,96000000,15625
37,17.047087,96000000,15625
38,16.606192,96000000,15625
