iteration,avg. fps,avg. polys,avg. models
1,5.789296,50840105,4137
2,5.766718,54778880,4457
3,5.809532,47806297,3890
4,5.872051,55860251,4545
5,5.756112,49866410,4058
6,5.896872,53227298,4331
7,5.878027,48586752,3954
8,5.590878,49942528,4064
9,5.907154,42434117,3453
10,5.884457,49896918,4060
11,5.189298,33166056,2699
12,6.005591,28302497,2303
13,5.624554,51717120,4208
14,5.785439,48159993,3919
15,5.794818,21990206,1789
16,5.96352,43801869,3564
17,5.691638,56606037,4606
18,5.841592,44138828,3592
19,5.388103,51823917,4217
20,5.362352,54587271,4442
21,5.829414,42766557,3480
22,6.037248,29761536,2422
23,5.980379,36042644,2933
24,5.969172,26579940,2163
25,5.726469,52776960,4295
26,5.822445,51922777,4225
27,5.77905,45267331,3683
28,5.319541,43417600,3533
29,5.50603,43954527,3577
30,5.694325,43253418,3519
31,5.781655,51036160,4153
32,5.709038,47799978,3889
33,5.795922,53069824,4318
34,5.798441,53003457,4313
35,5.149893,55456861,4513
36,5.878819,55321572,4502
37,5.930739,41487521,3376
38,5.930022,54301965,4419
