iteration,avg. fps,avg. polys,avg. models
1,5.344291,51029816,4152
2,5.452847,55319844,4501
3,5.565111,55975412,4555
4,5.000225,57467784,4676
5,5.594089,58201900,4736
6,5.482896,54381298,4425
7,4.736712,55664138,4529
8,5.45288,49264101,4009
9,5.398574,52823303,4298
10,5.375236,53754940,4374
11,5.395968,52270622,4253
12,4.850251,51822459,4217
13,5.517805,53245659,4333
14,5.496747,51533342,4193
15,4.977309,36896900,3002
16,5.314045,52010044,4232
17,5.189147,47406359,3857
18,5.211491,59003624,4801
19,5.536643,59536413,4845
20,6.161923,55469292,4514
21,6.074804,54962648,4472
22,6.109347,52745137,4292
23,6.090836,52059082,4236
24,6.097701,57862575,4708
25,6.083816,57691513,4694
26,6.10357,56182999,4572
27,6.138611,50480049,4108
28,6.139136,52447447,4268
29,6.184209,45278129,3684
30,5.709715,55451989,4512
,,,
32,5.809044,44318830,3606
33,6.10742,62573331,5092
34,6.070705,56266105,4578
35,6.044471,52304344,4256
36,6.037655,61159639,4977
37,6.088725,50911074,4143
38,5.965222,57513013,4680
