iteration,avg. Fps,avg. polys,avg. models
1,15.814152,192000000,15625
2,15.709027,192000000,15625
3,15.712982,192000000,15625
4,15.901077,192000000,15625
5,15.700036,192000000,15625
6,15.766912,192000000,15625
7,15.694378,192000000,15625
8,15.763087,192000000,15625
9,16.638559,192000000,15625
10,15.712828,192000000,15625
11,15.729895,192000000,15625
12,16.671347,192000000,15625
13,15.827637,192000000,15625
14,15.7963,192000000,15625
15,15.639251,192000000,15625
16,15.871746,192000000,15625
17,15.842599,192000000,15625
18,15.839992,192000000,15625
19,15.906966,192000000,15625
20,15.937198,192000000,15625
21,15.836178,192000000,15625
22,15.823209,192000000,15625
23,15.83674,192000000,15625
24,15.856803,192000000,15625
25,15.803639,192000000,15625
26,16.059816,192000000,15625
27,15.821329,192000000,15625
28,15.893315,192000000,15625
29,15.813492,192000000,15625
30,15.841784,192000000,15625
31,15.885631,192000000,15625
32,15.803741,192000000,15625
33,15.83905,192000000,15625
34,15.83416,192000000,15625
35,16.323046,192000000,15625
36,15.839156,192000000,15625
37,15.892003,192000000,15625
38,15.890288,192000000,15625
