"","iteration","avg..fps","avg..polys","avg..models","Env","BFC","FVC","ZC","activeAlgorithms"
"1",1,14.251,192000000,15625,"DENSE",0,0,0,0
"2",2,14.328,192000000,15625,"DENSE",0,0,0,0
"3",3,14.256,192000000,15625,"DENSE",0,0,0,0
"4",4,14.277,192000000,15625,"DENSE",0,0,0,0
"5",5,14.508,192000000,15625,"DENSE",0,0,0,0
"6",6,14.457,192000000,15625,"DENSE",0,0,0,0
"7",7,14.215,192000000,15625,"DENSE",0,0,0,0
"8",8,14.259,192000000,15625,"DENSE",0,0,0,0
"9",9,14.354,192000000,15625,"DENSE",0,0,0,0
"10",10,14.47,192000000,15625,"DENSE",0,0,0,0
"11",11,14.358,192000000,15625,"DENSE",0,0,0,0
"12",12,14.292,192000000,15625,"DENSE",0,0,0,0
"13",13,14.71,192000000,15625,"DENSE",0,0,0,0
"14",14,14.731,192000000,15625,"DENSE",0,0,0,0
"15",15,14.37,192000000,15625,"DENSE",0,0,0,0
"16",16,14.672,192000000,15625,"DENSE",0,0,0,0
"17",17,14.557,192000000,15625,"DENSE",0,0,0,0
"18",18,14.214,192000000,15625,"DENSE",0,0,0,0
"19",19,14.377,192000000,15625,"DENSE",0,0,0,0
"20",20,14.44,192000000,15625,"DENSE",0,0,0,0
"21",21,14.239,192000000,15625,"DENSE",0,0,0,0
"22",22,14.396,192000000,15625,"DENSE",0,0,0,0
"23",23,14.41,192000000,15625,"DENSE",0,0,0,0
"24",24,14.161,192000000,15625,"DENSE",0,0,0,0
"25",25,14.284,192000000,15625,"DENSE",0,0,0,0
"26",26,14.496,192000000,15625,"DENSE",0,0,0,0
"27",27,14.199,192000000,15625,"DENSE",0,0,0,0
"28",28,14.089,192000000,15625,"DENSE",0,0,0,0
"29",29,14.286,192000000,15625,"DENSE",0,0,0,0
"30",30,14.34,192000000,15625,"DENSE",0,0,0,0
"31",31,14.324,192000000,15625,"DENSE",0,0,0,0
"32",32,14.361,192000000,15625,"DENSE",0,0,0,0
"33",33,14.354,192000000,15625,"DENSE",0,0,0,0
